Date,Processor,Site name,Latitude,Longitude,PixelX,PixelY,In situ Chl-a,In situ SPM,reflec_1_mean,reflec_2_mean,reflec_3_mean,reflec_4_mean,reflec_5_mean,reflec_6_mean,reflec_7_mean,reflec_8_mean,reflec_9_mean,reflec_10_mean,reflec_12_mean,reflec_13_mean,a_ys_443_mean,a_pig_443_mean,a_total_443_mean,bb_spm_443_mean,tsm_mean,chl_conc_mean,chiSquare_mean,K_min_mean,Z90_max_mean,Kd_490_mean,turbidity_index_mean,Number of pixels
20080729,C2R,BLI_Keszthely,46.735954,17.27528633,122.5,562.5,18.06,11.04,0.00415698,0.005115375,0.00848777,0.010378893,0.016126987,0.012337596,0.008267837,0.007581879,0.006882055,0.00236198,0.001933883,0.001008804,0.676423722,0.65533997,1.331763691,0.148910483,12.88075617,13.53122552,0.047491133,0.741355512,-1.351017992,1.046336174,9.44183498,9
20090817,C2R,BLI_Keszthely,46.735954,17.27528633,122.5,562.5,23.76,14.86,0.004551662,0.005664489,0.009698287,0.011781285,0.017232645,0.011905816,0.008009399,0.007433967,0.005899357,0.001978316,0.001610206,0.000839905,0.588572959,0.468448596,1.057021525,0.133437069,11.54230637,9.543517325,0.151833884,0.632363492,-1.583062874,0.853684008,9.020667818,9
20100419,C2R,BLI_Keszthely,46.735954,17.27528633,122.5,562.5,6.21,15.92,0.003814814,0.00479259,0.008523666,0.010543924,0.015323822,0.009730025,0.006304993,0.005830974,0.004475523,0.001461607,0.00120156,0.00062236,0.491998643,0.436858892,0.928857538,0.105482976,9.124277433,8.875064744,0.125017024,0.557787849,-1.795620799,0.735356132,7.057364994,9
20100628,C2R,BLI_Keszthely,46.735954,17.27528633,122.5,562.5,12.46,31.47,0.006358971,0.009410199,0.016984224,0.021386385,0.030965778,0.025334026,0.019326565,0.018142812,0.014743984,0.005263037,0.004323416,0.002305533,1.100470901,0.369000564,1.469471481,0.299866388,25.93844265,7.446147177,0.349460923,0.999642624,-1.001359655,1.321328547,29.24894185,9
20101011,C2R,BLI_Keszthely,46.735954,17.27528633,122.5,562.5,12.69,14.81,0.004019491,0.005347053,0.008866097,0.011030209,0.018645847,0.019158534,0.014043285,0.012846443,0.013808224,0.005157554,0.004200642,0.002202951,1.721102423,0.895278229,2.616380559,0.322797345,27.92196973,18.71775733,0.10895363,1.430709826,-0.699531674,2.044593811,17.67535528,9
20110502,C2R,BLI_Keszthely,46.735954,17.27528633,122.5,562.5,6.53,25.99,0.00663214,0.009801467,0.017160947,0.021252073,0.030723518,0.025756686,0.019759232,0.018519665,0.015476186,0.005588454,0.004597001,0.002455347,1.100274523,0.385740823,1.486015333,0.285348667,24.68265894,7.7975333,0.16269187,0.989394089,-1.012136102,1.311830759,30.27195168,9
20081007,C2R,BLI_Siofok,46.969662,18.03933133,462.5,458.5,5.43,11.70,0.00645139,0.009387804,0.01744024,0.021371061,0.028901275,0.0193279,0.013882022,0.013111289,0.008249314,0.002645436,0.00220321,0.001198456,0.742770162,0.115493007,0.858263175,0.163015978,14.10088232,2.224748055,0.298353225,0.580664807,-1.723188692,0.749427756,17.92971293,9
20100419,C2R,BLI_Siofok,46.969662,18.03933133,462.5,458.5,4.11,9.73,0.003622278,0.005094812,0.010204863,0.013151411,0.019378504,0.012010765,0.007911126,0.007370677,0.004807144,0.001507581,0.001263383,0.000668783,0.666859461,0.218469744,0.8853292,0.108047497,9.34610886,4.316943063,0.362827278,0.526500834,-1.901820713,0.691393548,9.120234383,9
20100628,C2R,BLI_Siofok,46.969662,18.03933133,462.5,458.5,5.08,14.43,0.005394406,0.008011097,0.015914623,0.020713643,0.030185127,0.021666834,0.015752887,0.014827265,0.009982819,0.003268911,0.002709882,0.001452252,0.926648994,0.185470978,1.112119959,0.194846294,16.85420333,3.642467446,0.722595433,0.7004434,-1.436720292,0.945707851,21.83453729,9
20100727,C2R,BLI_Siofok,46.969662,18.03933133,462.5,458.5,20.25,28.20,0.003211282,0.004485902,0.008962333,0.011881415,0.018401377,0.012307179,0.008082342,0.007474052,0.005413602,0.001725963,0.001449167,0.000758543,0.756986406,0.351093693,1.108080109,0.122354545,10.58366712,7.070599291,0.393575059,0.61515922,-1.63038426,0.848404917,9.427447001,9
20101011,C2R,BLI_Siofok,46.969662,18.03933133,462.5,458.5,5.86,9.87,0.004922097,0.006505088,0.011753658,0.014020423,0.018881389,0.0107821,0.007183371,0.006759702,0.004133844,0.001305651,0.001074501,0.0005747,0.491350561,0.161868736,0.653219289,0.097123067,8.401145087,3.160421848,0.099561822,0.455240091,-2.198654572,0.54282899,7.974388864,9
20110323,C2R,BLI_Siofok,46.969662,18.03933133,462.5,458.5,3.78,8.20,0.005608406,0.007917678,0.014704021,0.018209947,0.025422382,0.01688971,0.011859286,0.011163281,0.007233488,0.002321789,0.001920113,0.001029746,0.721668985,0.164111018,0.885779977,0.158366659,13.69871669,3.206042793,0.287728608,0.587781794,-1.701586949,0.763905393,14.54358345,9
20111017,C2R,BLI_Siofok,46.969662,18.03933133,462.5,458.5,4.30,9.93,0.006389034,0.009317866,0.017421501,0.021561497,0.029592243,0.020310532,0.014671485,0.013828496,0.009071911,0.00294318,0.002446852,0.001322625,0.781193793,0.146861729,0.928055498,0.172729519,14.94110288,2.856919871,0.302989433,0.616552207,-1.625426809,0.806449658,19.50033357,9
20100419,C2R,BLI_Szemes,46.843819,17.74270233,330.5,514.5,5.07,16.97,0.002875911,0.003674893,0.006848084,0.008248213,0.011737245,0.006596924,0.004102618,0.003770121,0.002788636,0.00090443,0.000756258,0.000389934,0.371211708,0.371980909,0.743192621,0.070914444,6.134099483,7.508681536,0.045271843,0.469962202,-2.131403416,0.570821479,4.571953177,8
20100628,C2R,BLI_Szemes,46.843819,17.74270233,330.5,514.5,11.38,30.93,0.00594799,0.008935273,0.017468497,0.022614422,0.032303844,0.02388919,0.017801478,0.016795322,0.011641091,0.003890001,0.003214126,0.00172144,0.961221192,0.190530027,1.151751214,0.225553362,19.51036602,3.744694789,0.641566217,0.744348155,-1.347450376,1.013536314,26.14581278,9
20101011,C2R,BLI_Szemes,46.843819,17.74270233,330.5,514.5,9.53,22.20,0.006197782,0.009355815,0.017117208,0.021427834,0.030700505,0.024439017,0.01851683,0.017394711,0.013607316,0.004774049,0.003937791,0.002111454,1.058877071,0.312613378,1.371490465,0.276836223,23.94633463,6.26660845,0.236915633,0.922290279,-1.08522692,1.22615246,27.21792391,9
20081007,C2R,BLI_Szigliget,46.751682,17.41910667,186.5,555.5,8.62,16.38,0.002493748,0.003670663,0.008187454,0.012175507,0.023027365,0.019708844,0.014007438,0.012841293,0.011140271,0.003855207,0.003199024,0.001634196,1.898491168,0.587536293,2.486027455,0.211091208,18.25938816,12.08550091,0.990244973,1.196367896,-0.877344608,1.74641521,19.26074524,5
20100419,C2R,BLI_Szigliget,46.751682,17.41910667,186.5,555.5,8.06,23.13,0.005835423,0.008841566,0.016932046,0.021792789,0.031366216,0.024129827,0.018071597,0.016994776,0.01273815,0.004369572,0.003601488,0.001923866,1.026442263,0.273826331,1.300268571,0.252285581,21.82270262,5.460061391,0.451252017,0.822551244,-1.216170788,1.146031088,26.54324362,9
20100628,C2R,BLI_Szigliget,46.751682,17.41910667,186.5,555.5,13.57,42.66,0.005871477,0.009387514,0.019005385,0.025022874,0.035614655,0.027575809,0.021254235,0.020070497,0.01479228,0.005134631,0.004238841,0.002269292,1.160470671,0.206446043,1.366916789,0.294649826,25.4872089,4.072079659,0.606670121,0.940201839,-1.064907286,1.234691328,35.4309472,9
20101011,C2R,BLI_Szigliget,46.751682,17.41910667,186.5,555.5,12.94,21.86,0.006284408,0.009485336,0.017089048,0.021284664,0.030654867,0.025147685,0.019212682,0.018027147,0.014679373,0.005243766,0.00431728,0.00230998,1.126056711,0.357406285,1.483462969,0.306311174,26.49591743,7.203354041,0.201903792,1.010014792,-0.990932657,1.336942911,28.81854841,9
20080729,C2R,BLI_Tihany,46.92247,17.92697133,412.5,479.5,4.28,10.72,0.005612218,0.007423406,0.013258648,0.015405909,0.019647687,0.01005638,0.006609726,0.006245679,0.003416195,0.001055031,0.00088259,0.000481179,0.418177701,0.056272591,0.47445029,0.080528752,6.965736707,1.053325329,0.05254884,0.350253208,-2.857718362,0.407113317,7.332262834,9
20080826,C2R,BLI_Tihany,46.92247,17.92697133,412.5,479.5,12.88,23.69,0.004191966,0.006386918,0.013231263,0.01806671,0.027945598,0.021022146,0.015106321,0.014119273,0.010248949,0.003380607,0.00281668,0.001489513,1.135767725,0.287295247,1.423062934,0.211567887,18.30062209,5.744716697,0.712582833,0.837669565,-1.213659114,1.153181288,20.76269913,9
20081007,C2R,BLI_Tihany,46.92247,17.92697133,412.5,479.5,6.79,14.67,0.00681653,0.010296688,0.019190226,0.023885336,0.03281629,0.024146399,0.018117107,0.017101672,0.011900709,0.004001956,0.003322338,0.001797687,0.908644676,0.167145304,1.075790008,0.226557614,19.59723282,3.268235551,0.28197321,0.720144729,-1.398790942,0.969293429,26.5938051,9
